institution,nodes,labelled_nodes,illicit_nodes,licit_nodes,boundary_nodes,cross_institution_edges,internal_edges,mean_internal_out_degree,institutions,seed,partition_method
0,73838,17274,1625,15649,35553,63756,57869,0.7837292451041469,3,42,graph_aware
1,66460,14946,1490,13456,34410,60084,45628,0.6865482997291604,3,42,graph_aware
2,63471,14344,1430,12914,33992,56598,40639,0.6402766617825464,3,42,graph_aware
0,107863,24954,2295,22659,41370,66679,95201,0.8826103483122109,2,42,graph_aware
1,95906,21610,2250,19360,42697,66679,72475,0.7556878610305925,2,42,graph_aware
0,47595,11989,977,11012,25581,51933,35078,0.7370101901460238,5,42,graph_aware
1,41839,9718,939,8779,24007,46312,25607,0.6120366165539329,5,42,graph_aware
2,38859,8390,868,7522,23264,42825,22074,0.5680537327260095,5,42,graph_aware
3,37898,8424,888,7536,22664,40306,20907,0.5516649955142752,5,42,graph_aware
4,37578,8043,873,7170,22610,39158,20422,0.5434562776092394,5,42,graph_aware
