institution,scarcity,illicit_train_before,illicit_train_after,labelled_train_after,method,seed,institutions,partition_method,experiment
0,1.0,1156,1156,12099,local_only,42,3,graph_aware,main_scarcity
1,1.0,1028,1028,10400,local_only,42,3,graph_aware,main_scarcity
2,1.0,997,997,10095,local_only,42,3,graph_aware,main_scarcity
0,0.5,1156,578,11521,local_only,42,3,graph_aware,main_scarcity
1,0.5,1028,514,9886,local_only,42,3,graph_aware,main_scarcity
2,0.5,997,498,9596,local_only,42,3,graph_aware,main_scarcity
0,0.2,1156,231,11174,local_only,42,3,graph_aware,main_scarcity
1,0.2,1028,206,9578,local_only,42,3,graph_aware,main_scarcity
2,0.2,997,199,9297,local_only,42,3,graph_aware,main_scarcity
0,0.1,1156,116,11059,local_only,42,3,graph_aware,main_scarcity
1,0.1,1028,103,9475,local_only,42,3,graph_aware,main_scarcity
2,0.1,997,100,9198,local_only,42,3,graph_aware,main_scarcity
0,0.05,1156,58,11001,local_only,42,3,graph_aware,main_scarcity
1,0.05,1028,51,9423,local_only,42,3,graph_aware,main_scarcity
2,0.05,997,50,9148,local_only,42,3,graph_aware,main_scarcity
0,0.01,1156,12,10955,local_only,42,3,graph_aware,main_scarcity
1,0.01,1028,10,9382,local_only,42,3,graph_aware,main_scarcity
2,0.01,997,10,9108,local_only,42,3,graph_aware,main_scarcity
0,0.1,1156,116,11059,fedavg_boundary,42,3,graph_aware,lambda_ablation
1,0.1,1028,103,9475,fedavg_boundary,42,3,graph_aware,lambda_ablation
2,0.1,997,100,9198,fedavg_boundary,42,3,graph_aware,lambda_ablation
0,0.1,1156,116,11059,fedavg_boundary,42,3,graph_aware,lambda_ablation
1,0.1,1028,103,9475,fedavg_boundary,42,3,graph_aware,lambda_ablation
2,0.1,997,100,9198,fedavg_boundary,42,3,graph_aware,lambda_ablation
0,0.1,1156,116,11059,fedavg_boundary,42,3,graph_aware,lambda_ablation
1,0.1,1028,103,9475,fedavg_boundary,42,3,graph_aware,lambda_ablation
2,0.1,997,100,9198,fedavg_boundary,42,3,graph_aware,lambda_ablation
0,0.1,1156,116,11059,fedavg_boundary,42,3,graph_aware,lambda_ablation
1,0.1,1028,103,9475,fedavg_boundary,42,3,graph_aware,lambda_ablation
2,0.1,997,100,9198,fedavg_boundary,42,3,graph_aware,lambda_ablation
0,0.1,1156,116,11059,fedavg_boundary,42,3,graph_aware,lambda_ablation
1,0.1,1028,103,9475,fedavg_boundary,42,3,graph_aware,lambda_ablation
2,0.1,997,100,9198,fedavg_boundary,42,3,graph_aware,lambda_ablation
0,0.1,1156,116,11059,fedavg_boundary,42,3,graph_aware,lambda_ablation
1,0.1,1028,103,9475,fedavg_boundary,42,3,graph_aware,lambda_ablation
2,0.1,997,100,9198,fedavg_boundary,42,3,graph_aware,lambda_ablation
0,0.1,1618,162,16044,local_only,42,2,graph_aware,institution_count_ablation
1,0.1,1563,156,13687,local_only,42,2,graph_aware,institution_count_ablation
0,0.1,1156,116,11059,local_only,42,3,graph_aware,institution_count_ablation
1,0.1,1028,103,9475,local_only,42,3,graph_aware,institution_count_ablation
2,0.1,997,100,9198,local_only,42,3,graph_aware,institution_count_ablation
0,0.1,697,70,7852,local_only,42,5,graph_aware,institution_count_ablation
1,0.1,658,66,6128,local_only,42,5,graph_aware,institution_count_ablation
2,0.1,592,59,5331,local_only,42,5,graph_aware,institution_count_ablation
3,0.1,635,64,5372,local_only,42,5,graph_aware,institution_count_ablation
4,0.1,599,60,5049,local_only,42,5,graph_aware,institution_count_ablation
